,cell_barcode,clone_id
M11-1,cell_1933,1
M11-1,cell_1934,4
M11-1,cell_1935,1
M11-1,cell_1936,4
M11-1,cell_1937,1
M11-1,cell_1938,1
M11-1,cell_1939,1
M11-1,cell_194,4
M11-1,cell_1940,1
M11-1,cell_1941,3
M11-1,cell_1942,4
M11-1,cell_1943,3
M11-1,cell_1944,3
M11-1,cell_1945,1
M11-1,cell_1946,3
M11-1,cell_1947,3
M11-1,cell_1948,3
M11-1,cell_1949,1
M11-1,cell_195,4
M11-1,cell_1950,3
M11-1,cell_1951,1
M11-1,cell_1952,3
M11-1,cell_1953,4
M11-1,cell_1954,4
M11-1,cell_1955,1
M11-1,cell_1956,3
M11-1,cell_1957,3
M11-1,cell_1958,1
M11-1,cell_1959,4
M11-1,cell_196,3
M11-1,cell_1960,4
M11-1,cell_1961,1
M11-1,cell_1962,3
M11-1,cell_1963,3
M11-1,cell_1964,3
M11-1,cell_1965,4
M11-1,cell_1966,4
M11-1,cell_1967,3
M11-1,cell_1968,3
M11-1,cell_1969,3
M11-1,cell_197,3
